,domains,domains_descr,slots,slots_descr,slots_type
87,Homes_1,A widely used service for finding apartments and scheduling visits,number_of_beds,Number of bed rooms,Number
88,Homes_1,A widely used service for finding apartments and scheduling visits,number_of_baths,Number of baths in the apartment,Number
89,Hotels_1,A popular service for searching and reserving rooms in hotels,destination,Location of the hotel,Location
90,Hotels_1,A popular service for searching and reserving rooms in hotels,number_of_rooms,Number of rooms in the reservation,Number
91,Hotels_1,A popular service for searching and reserving rooms in hotels,check_in_date,Start date for the reservation,Day
92,Hotels_1,A popular service for searching and reserving rooms in hotels,number_of_days,Number of days in the reservation,Number
93,Hotels_1,A popular service for searching and reserving rooms in hotels,star_rating,Star rating of the hotel,Number
94,Hotels_1,A popular service for searching and reserving rooms in hotels,hotel_name,Name of the hotel,Name
95,Hotels_1,A popular service for searching and reserving rooms in hotels,street_address,Address of the hotel,Location
96,Hotels_1,A popular service for searching and reserving rooms in hotels,phone_number,Phone number of the hotel,Phone
97,Hotels_1,A popular service for searching and reserving rooms in hotels,price_per_night,Price per night for the reservation,Number
98,Hotels_1,A popular service for searching and reserving rooms in hotels,has_wifi,Boolean flag indicating if the hotel has wifi,Boolean
99,Hotels_2,A popular service for searching and booking houses for short term stay,where_to,Location of the house,Location
100,Hotels_2,A popular service for searching and booking houses for short term stay,number_of_adults,Number of people for the reservation,Number
101,Hotels_2,A popular service for searching and booking houses for short term stay,check_in_date,Start date for the reservation or to find the house,Day
102,Hotels_2,A popular service for searching and booking houses for short term stay,check_out_date,End date for the reservation or to find the house,Day
103,Hotels_2,A popular service for searching and booking houses for short term stay,rating,Review rating of the house,Number
104,Hotels_2,A popular service for searching and booking houses for short term stay,address,Address of the house,Location
105,Hotels_2,A popular service for searching and booking houses for short term stay,phone_number,Phone number of the house,Phone
106,Hotels_2,A popular service for searching and booking houses for short term stay,total_price,Price per night of the house,Number
107,Hotels_2,A popular service for searching and booking houses for short term stay,has_laundry_service,Boolean flag indicating if the house has laundry service,Boolean
108,Hotels_3,A leading provider for searching and booking hotel rooms,location,Location of the hotel,Location
109,Hotels_3,A leading provider for searching and booking hotel rooms,number_of_rooms,Number of rooms to book,Number
110,Hotels_3,A leading provider for searching and booking hotel rooms,check_in_date,Start date for the hotel reservation,Day
111,Hotels_3,A leading provider for searching and booking hotel rooms,check_out_date,End date for the hotel reservation,Day
112,Hotels_3,A leading provider for searching and booking hotel rooms,average_rating,Average review rating for the hotel,Number
113,Hotels_3,A leading provider for searching and booking hotel rooms,hotel_name,Name of the hotel,Name
114,Hotels_3,A leading provider for searching and booking hotel rooms,street_address,Address of the hotel,Location
115,Hotels_3,A leading provider for searching and booking hotel rooms,phone_number,Phone number of the hotel,Phone
116,Hotels_3,A leading provider for searching and booking hotel rooms,price,Total price for the stay,Number
117,Hotels_3,A leading provider for searching and booking hotel rooms,pets_welcome,Boolean flag indicating if pets are allowed in the hotel,Boolean
118,Media_1,A leading provider of movies for searching and watching on-demand,title,Title of the movie,Name
119,Media_1,A leading provider of movies for searching and watching on-demand,genre,Genre of the movie,Category
120,Media_1,A leading provider of movies for searching and watching on-demand,subtitles,Boolean flag indicating if subtitles are desired for this movie,Boolean
121,Media_1,A leading provider of movies for searching and watching on-demand,directed_by,Name of the director of the movie,Name
122,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",price,Price per ticket,Number
123,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",number_of_tickets,Number of the movie tickets to be purchased,Number
124,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_type,Type of show,Category
125,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",theater_name,Name of the theatre,Name
126,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_time,Time of the show,Time
127,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_date,Date of the show,Day
128,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",genre,Genre of the movie,Category
129,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",street_address,Address of the theatre,Location
130,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",location,City where the theatre is located,Location
131,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",movie_name,Name of the movie,Name
132,Music_1,A popular provider of a wide range of music content for searching and listening,song_name,Name of the song,Name
133,Music_1,A popular provider of a wide range of music content for searching and listening,artist,Artist who performed the song,Name
134,Music_1,A popular provider of a wide range of music content for searching and listening,album,Album the song belongs to,Name
135,Music_1,A popular provider of a wide range of music content for searching and listening,genre,Genre of the song,Category
136,Music_1,A popular provider of a wide range of music content for searching and listening,year,Year in which the song was released,Day
137,Music_1,A popular provider of a wide range of music content for searching and listening,playback_device,Playback device on which the song is to be played,Category
138,Music_2,A widely used service for finding and playing music from a variety of genres and artists,song_name,Name of the song,Name
139,Music_2,A widely used service for finding and playing music from a variety of genres and artists,artist,Name of the artist the song is performed by,Name
140,Music_2,A widely used service for finding and playing music from a variety of genres and artists,album,Album the song belongs to,Name
141,Music_2,A widely used service for finding and playing music from a variety of genres and artists,genre,Genre of the song,Category
142,Music_2,A widely used service for finding and playing music from a variety of genres and artists,playback_device,Playback device on which the song is to be played,Category
143,RentalCars_1,Car rental service with extensive coverage of locations and cars,type,Category to which rental car belongs,Category
144,RentalCars_1,Car rental service with extensive coverage of locations and cars,car_name,Model name of rental car,Name
145,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_location,Location of rental car pickup,Location
146,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_date,Date of rental car pickup,Day
147,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_time,Time of rental car pickup,Time
148,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_city,City to pick up the rental car,Location
149,RentalCars_1,Car rental service with extensive coverage of locations and cars,dropoff_date,Date of rental car drop-off,Day
150,RentalCars_1,Car rental service with extensive coverage of locations and cars,total_price,Total price of car rental,Number
151,RentalCars_2,"Car rental service, available worldwide",car_type,Type of car for rental,Category
152,RentalCars_2,"Car rental service, available worldwide",car_name,Name of car model,Name
153,RentalCars_2,"Car rental service, available worldwide",pickup_location,Pickup location for car rental,Location
154,RentalCars_2,"Car rental service, available worldwide",pickup_date,Date of pickup for car rental,Day
155,RentalCars_2,"Car rental service, available worldwide",pickup_time,Time of pickup for car rental,Time
156,RentalCars_2,"Car rental service, available worldwide",pickup_city,City in which to pick up rental car,Location
157,RentalCars_2,"Car rental service, available worldwide",dropoff_date,End date of car rental reservation,Day
158,RentalCars_2,"Car rental service, available worldwide",total_price,Total price of rental reservation,Number
159,Restaurants_1,A leading provider for restaurant search and reservations,restaurant_name,Name of the restaurant,Name
160,Restaurants_1,A leading provider for restaurant search and reservations,date,Date for the reservation or to find availability,Day
161,Restaurants_1,A leading provider for restaurant search and reservations,time,Time for the reservation or to find availability,Time
162,Restaurants_1,A leading provider for restaurant search and reservations,serves_alcohol,Boolean flag indicating if the restaurant serves alcohol,Boolean
163,Restaurants_1,A leading provider for restaurant search and reservations,has_live_music,Boolean flag indicating if the restaurant has live music,Boolean
164,Restaurants_1,A leading provider for restaurant search and reservations,phone_number,Phone number of the restaurant,Phone
165,Restaurants_1,A leading provider for restaurant search and reservations,street_address,Address of the restaurant,Location
166,Restaurants_1,A leading provider for restaurant search and reservations,party_size,Party size for a reservation,Number
167,Restaurants_1,A leading provider for restaurant search and reservations,price_range,Price range for the restaurant,Others
168,Restaurants_1,A leading provider for restaurant search and reservations,city,City in which the restaurant is located,Location
169,Restaurants_1,A leading provider for restaurant search and reservations,cuisine,Cuisine of food served in the restaurant,Category
170,RideSharing_1,On-demand taxi calling service,destination,Destination for taxi ride,Location
171,RideSharing_1,On-demand taxi calling service,shared_ride,Boolean flag whether ride is shared with other passengers,Boolean
172,RideSharing_1,On-demand taxi calling service,ride_fare,Total fare for taxi ride,Number
173,RideSharing_1,On-demand taxi calling service,approximate_ride_duration,Approximate duration of ride to the destination,Number
174,RideSharing_1,On-demand taxi calling service,number_of_riders,Number of riders to call taxi for,Number
175,RideSharing_2,App to book a cab to any destination,destination,Destination address or location for cab,Location
176,RideSharing_2,App to book a cab to any destination,ride_type,Type of cab ride,Category
177,RideSharing_2,App to book a cab to any destination,ride_fare,Total fare for cab ride,Number
178,RideSharing_2,App to book a cab to any destination,wait_time,Expected waiting time for pick-up by cab,Number
179,RideSharing_2,App to book a cab to any destination,number_of_seats,Number of seats to reserve in the cab,Number
180,Services_1,A widely used service for finding and reserving the hair stylist of your choice,stylist_name,Name of the hair stylist/salon,Name
181,Services_1,A widely used service for finding and reserving the hair stylist of your choice,phone_number,Phone number of the stylist/salon,Phone
182,Services_1,A widely used service for finding and reserving the hair stylist of your choice,average_rating,Average review rating for the stylist/salon,Number
183,Services_1,A widely used service for finding and reserving the hair stylist of your choice,is_unisex,Boolean flag indicating if the salon is unisex,Boolean
184,Services_1,A widely used service for finding and reserving the hair stylist of your choice,street_address,Address of the stylist/salon,Location
185,Services_1,A widely used service for finding and reserving the hair stylist of your choice,city,City where the salon is located,Location
186,Services_1,A widely used service for finding and reserving the hair stylist of your choice,appointment_date,Date for the appointment,Day
187,Services_1,A widely used service for finding and reserving the hair stylist of your choice,appointment_time,Time of the appointment,Time
188,Services_2,The go-to service for finding and booking appointments with top rated dentists,dentist_name,Name of the dentist,Name
189,Services_2,The go-to service for finding and booking appointments with top rated dentists,phone_number,Phone number of the dentist,Phone
190,Services_2,The go-to service for finding and booking appointments with top rated dentists,address,Address of the dentist,Location
191,Services_2,The go-to service for finding and booking appointments with top rated dentists,city,City where the dentist is located,Location
192,Services_2,The go-to service for finding and booking appointments with top rated dentists,appointment_date,Date for the appointment,Day
193,Services_2,The go-to service for finding and booking appointments with top rated dentists,appointment_time,Time for the appointment,Time
194,Services_2,The go-to service for finding and booking appointments with top rated dentists,offers_cosmetic_services,Boolean flag indicating if the dentist offers cosmetic services,Boolean
195,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,doctor_name,Name of the doctor or the medical practice,Name
196,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,phone_number,Contact number for the doctor or the medical practice,Phone
197,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,average_rating,Average review rating of the doctor,Number
198,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,street_address,Address of the doctor,Location
199,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,city,City where the doctor is located,Location
200,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,appointment_date,Date for scheduling the appointment with the doctor,Day
201,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,appointment_time,Time for the appointment with the doctor,Time
202,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,type,Speciality of the doctor,Category
203,Travel_1,The biggest database of tourist attractions and points of interest,location,City or town where the attraction is located,Location
204,Travel_1,The biggest database of tourist attractions and points of interest,attraction_name,Common name of the attraction,Name
205,Travel_1,The biggest database of tourist attractions and points of interest,category,Category to which the attraction belongs,Category
206,Travel_1,The biggest database of tourist attractions and points of interest,phone_number,Phone number to contact the attraction,Phone
207,Travel_1,The biggest database of tourist attractions and points of interest,free_entry,Boolean flag indicating whether entrance to attraction is free,Boolean
208,Travel_1,The biggest database of tourist attractions and points of interest,good_for_kids,Boolean flag indicating whether attraction is good for to take kids to,Boolean
209,Weather_1,Check the weather for any place and any date,precipitation,The possibility of rain or snow in percentage,Number
210,Weather_1,Check the weather for any place and any date,humidity,Percentage humidity,Number
211,Weather_1,Check the weather for any place and any date,wind,Wind speed in miles per hour,Number
212,Weather_1,Check the weather for any place and any date,temperature,Temperature in Fahrenheit,Number
213,Weather_1,Check the weather for any place and any date,city,Name of the city,Location
214,Weather_1,Check the weather for any place and any date,date,Date for the weather,Day
215,Alarm_1,Manage alarms by getting and setting them easily,alarm_time,Time of the alarm,Time
216,Alarm_1,Manage alarms by getting and setting them easily,alarm_name,Name of the alarm,Name
217,Alarm_1,Manage alarms by getting and setting them easily,new_alarm_time,Time to set for the new alarm,Time
218,Alarm_1,Manage alarms by getting and setting them easily,new_alarm_name,Name to use for the new alarm,Name
219,Banks_2,Service to manage your bank accounts and finances,account_type,The user's account type,Category
220,Banks_2,Service to manage your bank accounts and finances,recipient_account_type,The account type of the recipient to transfer the money to,Category
221,Banks_2,Service to manage your bank accounts and finances,account_balance,The balance in the specified account,Number
222,Banks_2,Service to manage your bank accounts and finances,transfer_amount,The amount of money to transfer,Number
223,Banks_2,Service to manage your bank accounts and finances,recipient_name,The name of the recipient to transfer the money to,Name
224,Banks_2,Service to manage your bank accounts and finances,transfer_time,Number of days for the transfer to go through,Number
225,Flights_3,Find one way and round trip flights to your favorite city,passengers,Number of passengers to find flight seats for,Number
226,Flights_3,Find one way and round trip flights to your favorite city,flight_class,Fare class of flight booking,Category
227,Flights_3,Find one way and round trip flights to your favorite city,origin_city,City in which the journey originates,Location
228,Flights_3,Find one way and round trip flights to your favorite city,destination_city,City in which the journey ends,Location
229,Flights_3,Find one way and round trip flights to your favorite city,origin_airport_name,Number of the airport flying out from,Number
230,Flights_3,Find one way and round trip flights to your favorite city,destination_airport_name,Number of the airport flying to,Number
231,Flights_3,Find one way and round trip flights to your favorite city,departure_date,Date of departure flight,Day
232,Flights_3,Find one way and round trip flights to your favorite city,return_date,Date of return flight,Day
233,Flights_3,Find one way and round trip flights to your favorite city,number_stops,Number of stops in the itinerary,Number
234,Flights_3,Find one way and round trip flights to your favorite city,outbound_departure_time,Local time of departure of flight from origin to destination,Time
235,Flights_3,Find one way and round trip flights to your favorite city,outbound_arrival_time,Local time of arrival of flight from origin to destination,Time
236,Flights_3,Find one way and round trip flights to your favorite city,inbound_arrival_time,Local time of arrival of flight from destination to origin,Time
237,Flights_3,Find one way and round trip flights to your favorite city,inbound_departure_time,Local time of departure of flight from destination to origin,Time
238,Flights_3,Find one way and round trip flights to your favorite city,price,Price per passenger of the itinerary,Number
239,Flights_3,Find one way and round trip flights to your favorite city,number_checked_bags,Number of bags to check in,Number
240,Flights_3,Find one way and round trip flights to your favorite city,airlines,Name of airline operating the flight,Name
241,Flights_3,Find one way and round trip flights to your favorite city,arrives_next_day,Whether the flight arrives the next day,Boolean
242,Hotels_4,Accommodation searching and booking portal,location,City or town where the accommodation is located,Location
243,Hotels_4,Accommodation searching and booking portal,number_of_rooms,Number of rooms to reserve,Number
244,Hotels_4,Accommodation searching and booking portal,check_in_date,Check in date for reservation,Day
245,Hotels_4,Accommodation searching and booking portal,stay_length,Length of stay in days,Number
246,Hotels_4,Accommodation searching and booking portal,star_rating,Star rating of the accommodation,Number
247,Hotels_4,Accommodation searching and booking portal,place_name,Name of the accommodation,Name
248,Hotels_4,Accommodation searching and booking portal,street_address,Street address of the accommodation,Location
249,Hotels_4,Accommodation searching and booking portal,phone_number,Contact phone number of the accommodation,Phone
250,Hotels_4,Accommodation searching and booking portal,price_per_night,Price per night for the stay,Number
251,Hotels_4,Accommodation searching and booking portal,smoking_allowed,Whether or not smoking is allowed inside the place,Boolean
252,Media_2,The widest selection and lowest prices for movie rentals,movie_name,Name of the movie,Name
253,Media_2,The widest selection and lowest prices for movie rentals,genre,Main genre of the movie,Category
254,Media_2,The widest selection and lowest prices for movie rentals,subtitle_language,Language to use for subtitles (or None for no subtitles),Category
255,Media_2,The widest selection and lowest prices for movie rentals,director,Name of the director of the movie,Name
256,Media_2,The widest selection and lowest prices for movie rentals,actors,Name of an actor starring in the movie,Name
257,Media_2,The widest selection and lowest prices for movie rentals,price,Cost of renting movie,Number
258,Movies_2,The definitive database to discover new movies to watch,title,Title for movie,Name
259,Movies_2,The definitive database to discover new movies to watch,genre,Genre of the movie,Category
260,Movies_2,The definitive database to discover new movies to watch,aggregate_rating,"Aggregate user rating for movie, scale of 10",Number
261,Movies_2,The definitive database to discover new movies to watch,starring,Name of actor starring in movie,Name
262,Movies_2,The definitive database to discover new movies to watch,director,Name of director of the movie,Name
263,Restaurants_2,A popular restaurant search and reservation service,restaurant_name,Name of the restaurant,Name
264,Restaurants_2,A popular restaurant search and reservation service,date,Tentative date of restaurant reservation,Day
265,Restaurants_2,A popular restaurant search and reservation service,time,Tentative time of restaurant reservation,Time
266,Restaurants_2,A popular restaurant search and reservation service,has_seating_outdoors,Whether the restaurant has outdoor seating available,Boolean
267,Restaurants_2,A popular restaurant search and reservation service,has_vegetarian_options,Whether the restaurant has adequate vegetarian options,Boolean
268,Restaurants_2,A popular restaurant search and reservation service,phone_number,Phone number to contact restaurant,Phone
269,Restaurants_2,A popular restaurant search and reservation service,rating,Average user rating for restaurant on a scale of 5,Number
270,Restaurants_2,A popular restaurant search and reservation service,address,Address of restaurant,Location
271,Restaurants_2,A popular restaurant search and reservation service,number_of_seats,Number of seats to reserve at the restaurant,Number
272,Restaurants_2,A popular restaurant search and reservation service,price_range,Price range for the restaurant,Others
273,Restaurants_2,A popular restaurant search and reservation service,location,City where the restaurant is located,Location
274,Restaurants_2,A popular restaurant search and reservation service,category,The category of food offered by the restaurant,Category
275,Services_4,Discover the right therapist for you and make reservations easily,therapist_name,Name of the therapist,Name
276,Services_4,Discover the right therapist for you and make reservations easily,phone_number,Contact number of the therapist,Phone
277,Services_4,Discover the right therapist for you and make reservations easily,address,Address of the therapist,Location
278,Services_4,Discover the right therapist for you and make reservations easily,city,Area where user wants to search for a therapist,Location
279,Services_4,Discover the right therapist for you and make reservations easily,appointment_date,Date of the appointment,Day
280,Services_4,Discover the right therapist for you and make reservations easily,appointment_time,Time of the appointment,Time
281,Services_4,Discover the right therapist for you and make reservations easily,type,Type of the therapist,Category
282,Buses_3,Affordable and comfortable bus travel across the country,from_city,The city to depart from,Location
283,Buses_3,Affordable and comfortable bus travel across the country,to_city,The destination city of the trip,Location
284,Buses_3,Affordable and comfortable bus travel across the country,from_station,Name of station of departure,Name
285,Buses_3,Affordable and comfortable bus travel across the country,to_station,Name of station of arrival,Name
286,Buses_3,Affordable and comfortable bus travel across the country,departure_date,The date of departure,Day
287,Buses_3,Affordable and comfortable bus travel across the country,departure_time,The time of departure,Time
288,Buses_3,Affordable and comfortable bus travel across the country,price,Ticket price per passenger,Number
289,Buses_3,Affordable and comfortable bus travel across the country,additional_luggage,Whether to carry excess baggage in the bus,Boolean
290,Buses_3,Affordable and comfortable bus travel across the country,num_passengers,The number of tickets for the trip,Number
291,Buses_3,Affordable and comfortable bus travel across the country,category,How many stops the route has,Category
292,Events_3,Find and book tickets to any cultural events in your area,event_type,Type of cultural event,Category
293,Events_3,Find and book tickets to any cultural events in your area,event_name,Name of artist or play,Name
294,Events_3,Find and book tickets to any cultural events in your area,date,Date of event,Day
295,Events_3,Find and book tickets to any cultural events in your area,time,Start time of event,Time
296,Events_3,Find and book tickets to any cultural events in your area,number_of_tickets,Number of tickets to reserve for the event,Number
297,Events_3,Find and book tickets to any cultural events in your area,price_per_ticket,Price of each ticket,Number
298,Events_3,Find and book tickets to any cultural events in your area,city,City where the event is taking place,Location
299,Events_3,Find and book tickets to any cultural events in your area,venue,Exact venue of event,Location
300,Events_3,Find and book tickets to any cultural events in your area,venue_address,Street address of event venue,Location
301,Flights_4,Find cheap flights in seconds and book flights,number_of_tickets,the number of flight tickets for the trip,Number
302,Flights_4,Find cheap flights in seconds and book flights,seating_class,The cabin seat option,Category
303,Flights_4,Find cheap flights in seconds and book flights,origin_airport,The name of the airport or city to depart from,Name
304,Flights_4,Find cheap flights in seconds and book flights,destination_airport,The name of the airport or city to arrive at,Name
305,Flights_4,Find cheap flights in seconds and book flights,departure_date,Start date of the trip,Day
306,Flights_4,Find cheap flights in seconds and book flights,return_date,End date of the trip,Day
307,Flights_4,Find cheap flights in seconds and book flights,is_nonstop,Whether the flight is a direct one,Boolean
308,Flights_4,Find cheap flights in seconds and book flights,outbound_departure_time,Departure time of the flight flying to the destination,Time
309,Flights_4,Find cheap flights in seconds and book flights,outbound_arrival_time,Arrival time of the flight flying to the destination,Time
310,Flights_4,Find cheap flights in seconds and book flights,inbound_arrival_time,Arrival time of the flight coming back from the trip,Time
311,Flights_4,Find cheap flights in seconds and book flights,inbound_departure_time,Departure time of the flight coming back from the trip,Time
312,Flights_4,Find cheap flights in seconds and book flights,price,The total cost of the flight tickets,Number
313,Flights_4,Find cheap flights in seconds and book flights,airlines,The company that provides air transport services,Name
