,domains,domains_descr,slots,slots_descr
26,Calendar_1,Calendar service to manage personal events and reservations,event_name,Title of event
27,Calendar_1,Calendar service to manage personal events and reservations,available_start_time,Starting time of available time slot
28,Calendar_1,Calendar service to manage personal events and reservations,available_end_time,Ending time of available time slot
29,Events_1,The comprehensive portal to find and reserve seats at events near you,category,Type of event
30,Events_1,The comprehensive portal to find and reserve seats at events near you,subcategory,"Subcategory of event, either a music genre or sport name"
31,Events_1,The comprehensive portal to find and reserve seats at events near you,event_name,Name of event
32,Events_1,The comprehensive portal to find and reserve seats at events near you,date,Date of occurrence of event
33,Events_1,The comprehensive portal to find and reserve seats at events near you,time,Time when the event is scheduled to start
34,Events_1,The comprehensive portal to find and reserve seats at events near you,number_of_seats,Number of seats to find event tickets for
35,Events_1,The comprehensive portal to find and reserve seats at events near you,city_of_event,City where event is happening
36,Events_1,The comprehensive portal to find and reserve seats at events near you,event_location,Name of event location
37,Events_1,The comprehensive portal to find and reserve seats at events near you,address_of_location,Street address of event location
38,Events_2,Get tickets for the coolest concerts and sports in your area,event_type,Type of event
39,Events_2,Get tickets for the coolest concerts and sports in your area,category,The sport or music subcategory
40,Events_2,Get tickets for the coolest concerts and sports in your area,event_name,Name of match or artist for event
41,Events_2,Get tickets for the coolest concerts and sports in your area,date,Date of event
42,Events_2,Get tickets for the coolest concerts and sports in your area,time,Starting time for event
43,Events_2,Get tickets for the coolest concerts and sports in your area,number_of_tickets,Number of tickets to buy for event
44,Events_2,Get tickets for the coolest concerts and sports in your area,city,City where the event is taking place
45,Events_2,Get tickets for the coolest concerts and sports in your area,venue,Exact venue of event
46,Events_2,Get tickets for the coolest concerts and sports in your area,venue_address,Address of event venue
47,Flights_1,Find your next flight,passengers,Number of passengers in the booking
48,Flights_1,Find your next flight,seating_class,Seating class for the booking
49,Flights_1,Find your next flight,origin_city,Starting city for the trip
50,Flights_1,Find your next flight,destination_city,Ending city for the trip
51,Flights_1,Find your next flight,origin_airport,Airport at the starting city for the trip
52,Flights_1,Find your next flight,destination_airport,Airport at the ending city for the trip
53,Flights_1,Find your next flight,departure_date,Start date for the trip
54,Flights_1,Find your next flight,return_date,Date of the return flight
55,Flights_1,Find your next flight,number_stops,Number of layovers in the flight
56,Flights_1,Find your next flight,outbound_departure_time,Departure time for the outbound leg flight
57,Flights_1,Find your next flight,outbound_arrival_time,Arrival time for the outbound leg flight
58,Flights_1,Find your next flight,inbound_arrival_time,Arrival time for the return leg flight
59,Flights_1,Find your next flight,inbound_departure_time,Departure time for the return leg flight
60,Flights_1,Find your next flight,price,Price of the booking per passenger
61,Flights_1,Find your next flight,refundable,Whether the booking is refundable or not
62,Flights_1,Find your next flight,airlines,Name of airline
63,Flights_2,Search for cheap flights across multiple providers,passengers,Number of passengers to book tickets for
64,Flights_2,Search for cheap flights across multiple providers,seating_class,Seating class for the flight tickets
65,Flights_2,Search for cheap flights across multiple providers,origin,City of origin for the flight
66,Flights_2,Search for cheap flights across multiple providers,destination,City of destination for the flight
67,Flights_2,Search for cheap flights across multiple providers,origin_airport,Airport where the flight is departing from
68,Flights_2,Search for cheap flights across multiple providers,destination_airport,Airport where the flight is arriving to
69,Flights_2,Search for cheap flights across multiple providers,departure_date,Date of departure flight on the ticket
70,Flights_2,Search for cheap flights across multiple providers,return_date,Date of return flight on the ticket
71,Flights_2,Search for cheap flights across multiple providers,number_stops,Number of stopovers made by the flight
72,Flights_2,Search for cheap flights across multiple providers,outbound_departure_time,Departure time of the origin-destination flight
73,Flights_2,Search for cheap flights across multiple providers,outbound_arrival_time,Arrival time of the origin-destination flight
74,Flights_2,Search for cheap flights across multiple providers,inbound_arrival_time,Arrival time of the destination-origin flight
75,Flights_2,Search for cheap flights across multiple providers,inbound_departure_time,Departure time of the destination-origin flight
76,Flights_2,Search for cheap flights across multiple providers,fare,Ticket fare for each passenger
77,Flights_2,Search for cheap flights across multiple providers,is_redeye,Boolean flag indicating whether the flight is a red-eye flight
78,Flights_2,Search for cheap flights across multiple providers,airlines,Name of the airline to book with
79,Homes_1,A widely used service for finding apartments and scheduling visits,area,City where the apartment is located
80,Homes_1,A widely used service for finding apartments and scheduling visits,address,Address of the apartment
81,Homes_1,A widely used service for finding apartments and scheduling visits,property_name,Name of the apartment
82,Homes_1,A widely used service for finding apartments and scheduling visits,phone_number,Phone number of the apartment
83,Homes_1,A widely used service for finding apartments and scheduling visits,furnished,Boolean flag indicating if the property is furnished
84,Homes_1,A widely used service for finding apartments and scheduling visits,pets_allowed,Boolean flag indicating if pets are allowed
85,Homes_1,A widely used service for finding apartments and scheduling visits,rent,Rent per month of the apartment
86,Homes_1,A widely used service for finding apartments and scheduling visits,visit_date,Date for the visit to the apartment
87,Homes_1,A widely used service for finding apartments and scheduling visits,number_of_beds,Number of bed rooms
88,Homes_1,A widely used service for finding apartments and scheduling visits,number_of_baths,Number of baths in the apartment
89,Hotels_1,A popular service for searching and reserving rooms in hotels,destination,Location of the hotel
90,Hotels_1,A popular service for searching and reserving rooms in hotels,number_of_rooms,Number of rooms in the reservation
91,Hotels_1,A popular service for searching and reserving rooms in hotels,check_in_date,Start date for the reservation
92,Hotels_1,A popular service for searching and reserving rooms in hotels,number_of_days,Number of days in the reservation
93,Hotels_1,A popular service for searching and reserving rooms in hotels,star_rating,Star rating of the hotel
94,Hotels_1,A popular service for searching and reserving rooms in hotels,hotel_name,Name of the hotel
95,Hotels_1,A popular service for searching and reserving rooms in hotels,street_address,Address of the hotel
96,Hotels_1,A popular service for searching and reserving rooms in hotels,phone_number,Phone number of the hotel
97,Hotels_1,A popular service for searching and reserving rooms in hotels,price_per_night,Price per night for the reservation
98,Hotels_1,A popular service for searching and reserving rooms in hotels,has_wifi,Boolean flag indicating if the hotel has wifi
99,Hotels_2,A popular service for searching and booking houses for short term stay,where_to,Location of the house
100,Hotels_2,A popular service for searching and booking houses for short term stay,number_of_adults,Number of people for the reservation
101,Hotels_2,A popular service for searching and booking houses for short term stay,check_in_date,Start date for the reservation or to find the house
102,Hotels_2,A popular service for searching and booking houses for short term stay,check_out_date,End date for the reservation or to find the house
103,Hotels_2,A popular service for searching and booking houses for short term stay,rating,Review rating of the house
104,Hotels_2,A popular service for searching and booking houses for short term stay,address,Address of the house
105,Hotels_2,A popular service for searching and booking houses for short term stay,phone_number,Phone number of the house
106,Hotels_2,A popular service for searching and booking houses for short term stay,total_price,Price per night of the house
107,Hotels_2,A popular service for searching and booking houses for short term stay,has_laundry_service,Boolean flag indicating if the house has laundry service
108,Hotels_3,A leading provider for searching and booking hotel rooms,location,Location of the hotel
109,Hotels_3,A leading provider for searching and booking hotel rooms,number_of_rooms,Number of rooms to book
110,Hotels_3,A leading provider for searching and booking hotel rooms,check_in_date,Start date for the hotel reservation
111,Hotels_3,A leading provider for searching and booking hotel rooms,check_out_date,End date for the hotel reservation
112,Hotels_3,A leading provider for searching and booking hotel rooms,average_rating,Average review rating for the hotel
113,Hotels_3,A leading provider for searching and booking hotel rooms,hotel_name,Name of the hotel
114,Hotels_3,A leading provider for searching and booking hotel rooms,street_address,Address of the hotel
115,Hotels_3,A leading provider for searching and booking hotel rooms,phone_number,Phone number of the hotel
116,Hotels_3,A leading provider for searching and booking hotel rooms,price,Total price for the stay
117,Hotels_3,A leading provider for searching and booking hotel rooms,pets_welcome,Boolean flag indicating if pets are allowed in the hotel
118,Media_1,A leading provider of movies for searching and watching on-demand,title,Title of the movie
119,Media_1,A leading provider of movies for searching and watching on-demand,genre,Genre of the movie
120,Media_1,A leading provider of movies for searching and watching on-demand,subtitles,Boolean flag indicating if subtitles are desired for this movie
121,Media_1,A leading provider of movies for searching and watching on-demand,directed_by,Name of the director of the movie
122,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",price,Price per ticket
123,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",number_of_tickets,Number of the movie tickets to be purchased
124,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_type,Type of show
125,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",theater_name,Name of the theatre
126,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_time,Time of the show
127,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",show_date,Date of the show
128,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",genre,Genre of the movie
129,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",street_address,Address of the theatre
130,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",location,City where the theatre is located
131,Movies_1,"A go-to provider for finding movies, searching for show times and booking tickets",movie_name,Name of the movie
132,Music_1,A popular provider of a wide range of music content for searching and listening,song_name,Name of the song
133,Music_1,A popular provider of a wide range of music content for searching and listening,artist,Artist who performed the song
134,Music_1,A popular provider of a wide range of music content for searching and listening,album,Album the song belongs to
135,Music_1,A popular provider of a wide range of music content for searching and listening,genre,Genre of the song
136,Music_1,A popular provider of a wide range of music content for searching and listening,year,Year in which the song was released
137,Music_1,A popular provider of a wide range of music content for searching and listening,playback_device,Playback device on which the song is to be played
138,Music_2,A widely used service for finding and playing music from a variety of genres and artists,song_name,Name of the song
139,Music_2,A widely used service for finding and playing music from a variety of genres and artists,artist,Name of the artist the song is performed by
140,Music_2,A widely used service for finding and playing music from a variety of genres and artists,album,Album the song belongs to
141,Music_2,A widely used service for finding and playing music from a variety of genres and artists,genre,Genre of the song
142,Music_2,A widely used service for finding and playing music from a variety of genres and artists,playback_device,Playback device on which the song is to be played
143,RentalCars_1,Car rental service with extensive coverage of locations and cars,type,Category to which rental car belongs
144,RentalCars_1,Car rental service with extensive coverage of locations and cars,car_name,Model name of rental car
145,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_location,Location of rental car pickup
146,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_date,Date of rental car pickup
147,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_time,Time of rental car pickup
148,RentalCars_1,Car rental service with extensive coverage of locations and cars,pickup_city,City to pick up the rental car
149,RentalCars_1,Car rental service with extensive coverage of locations and cars,dropoff_date,Date of rental car drop-off
150,RentalCars_1,Car rental service with extensive coverage of locations and cars,total_price,Total price of car rental
151,RentalCars_2,"Car rental service, available worldwide",car_type,Type of car for rental
152,RentalCars_2,"Car rental service, available worldwide",car_name,Name of car model
153,RentalCars_2,"Car rental service, available worldwide",pickup_location,Pickup location for car rental
154,RentalCars_2,"Car rental service, available worldwide",pickup_date,Date of pickup for car rental
155,RentalCars_2,"Car rental service, available worldwide",pickup_time,Time of pickup for car rental
156,RentalCars_2,"Car rental service, available worldwide",pickup_city,City in which to pick up rental car
157,RentalCars_2,"Car rental service, available worldwide",dropoff_date,End date of car rental reservation
158,RentalCars_2,"Car rental service, available worldwide",total_price,Total price of rental reservation
159,Restaurants_1,A leading provider for restaurant search and reservations,restaurant_name,Name of the restaurant
160,Restaurants_1,A leading provider for restaurant search and reservations,date,Date for the reservation or to find availability
161,Restaurants_1,A leading provider for restaurant search and reservations,time,Time for the reservation or to find availability
162,Restaurants_1,A leading provider for restaurant search and reservations,serves_alcohol,Boolean flag indicating if the restaurant serves alcohol
163,Restaurants_1,A leading provider for restaurant search and reservations,has_live_music,Boolean flag indicating if the restaurant has live music
164,Restaurants_1,A leading provider for restaurant search and reservations,phone_number,Phone number of the restaurant
165,Restaurants_1,A leading provider for restaurant search and reservations,street_address,Address of the restaurant
166,Restaurants_1,A leading provider for restaurant search and reservations,party_size,Party size for a reservation
167,Restaurants_1,A leading provider for restaurant search and reservations,price_range,Price range for the restaurant
168,Restaurants_1,A leading provider for restaurant search and reservations,city,City in which the restaurant is located
169,Restaurants_1,A leading provider for restaurant search and reservations,cuisine,Cuisine of food served in the restaurant
170,RideSharing_1,On-demand taxi calling service,destination,Destination for taxi ride
171,RideSharing_1,On-demand taxi calling service,shared_ride,Boolean flag whether ride is shared with other passengers
172,RideSharing_1,On-demand taxi calling service,ride_fare,Total fare for taxi ride
173,RideSharing_1,On-demand taxi calling service,approximate_ride_duration,Approximate duration of ride to the destination
174,RideSharing_1,On-demand taxi calling service,number_of_riders,Number of riders to call taxi for
175,RideSharing_2,App to book a cab to any destination,destination,Destination address or location for cab
176,RideSharing_2,App to book a cab to any destination,ride_type,Type of cab ride
177,RideSharing_2,App to book a cab to any destination,ride_fare,Total fare for cab ride
178,RideSharing_2,App to book a cab to any destination,wait_time,Expected waiting time for pick-up by cab
179,RideSharing_2,App to book a cab to any destination,number_of_seats,Number of seats to reserve in the cab
180,Services_1,A widely used service for finding and reserving the hair stylist of your choice,stylist_name,Name of the hair stylist/salon
181,Services_1,A widely used service for finding and reserving the hair stylist of your choice,phone_number,Phone number of the stylist/salon
182,Services_1,A widely used service for finding and reserving the hair stylist of your choice,average_rating,Average review rating for the stylist/salon
183,Services_1,A widely used service for finding and reserving the hair stylist of your choice,is_unisex,Boolean flag indicating if the salon is unisex
184,Services_1,A widely used service for finding and reserving the hair stylist of your choice,street_address,Address of the stylist/salon
185,Services_1,A widely used service for finding and reserving the hair stylist of your choice,city,City where the salon is located
186,Services_1,A widely used service for finding and reserving the hair stylist of your choice,appointment_date,Date for the appointment
187,Services_1,A widely used service for finding and reserving the hair stylist of your choice,appointment_time,Time of the appointment
188,Services_2,The go-to service for finding and booking appointments with top rated dentists,dentist_name,Name of the dentist
189,Services_2,The go-to service for finding and booking appointments with top rated dentists,phone_number,Phone number of the dentist
190,Services_2,The go-to service for finding and booking appointments with top rated dentists,address,Address of the dentist
191,Services_2,The go-to service for finding and booking appointments with top rated dentists,city,City where the dentist is located
192,Services_2,The go-to service for finding and booking appointments with top rated dentists,appointment_date,Date for the appointment
193,Services_2,The go-to service for finding and booking appointments with top rated dentists,appointment_time,Time for the appointment
194,Services_2,The go-to service for finding and booking appointments with top rated dentists,offers_cosmetic_services,Boolean flag indicating if the dentist offers cosmetic services
195,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,doctor_name,Name of the doctor or the medical practice
196,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,phone_number,Contact number for the doctor or the medical practice
197,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,average_rating,Average review rating of the doctor
198,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,street_address,Address of the doctor
199,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,city,City where the doctor is located
200,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,appointment_date,Date for scheduling the appointment with the doctor
201,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,appointment_time,Time for the appointment with the doctor
202,Services_3,A popular provider for finding the right doctor for your needs. Also allows you to schedule your visit to the doctor,type,Speciality of the doctor
203,Travel_1,The biggest database of tourist attractions and points of interest,location,City or town where the attraction is located
204,Travel_1,The biggest database of tourist attractions and points of interest,attraction_name,Common name of the attraction
205,Travel_1,The biggest database of tourist attractions and points of interest,category,Category to which the attraction belongs
206,Travel_1,The biggest database of tourist attractions and points of interest,phone_number,Phone number to contact the attraction
207,Travel_1,The biggest database of tourist attractions and points of interest,free_entry,Boolean flag indicating whether entrance to attraction is free
208,Travel_1,The biggest database of tourist attractions and points of interest,good_for_kids,Boolean flag indicating whether attraction is good for to take kids to
209,Weather_1,Check the weather for any place and any date,precipitation,The possibility of rain or snow in percentage
210,Weather_1,Check the weather for any place and any date,humidity,Percentage humidity
211,Weather_1,Check the weather for any place and any date,wind,Wind speed in miles per hour
212,Weather_1,Check the weather for any place and any date,temperature,Temperature in Fahrenheit
213,Weather_1,Check the weather for any place and any date,city,Name of the city
214,Weather_1,Check the weather for any place and any date,date,Date for the weather
215,Alarm_1,Manage alarms by getting and setting them easily,alarm_time,Time of the alarm
216,Alarm_1,Manage alarms by getting and setting them easily,alarm_name,Name of the alarm
217,Alarm_1,Manage alarms by getting and setting them easily,new_alarm_time,Time to set for the new alarm
218,Alarm_1,Manage alarms by getting and setting them easily,new_alarm_name,Name to use for the new alarm
219,Banks_2,Service to manage your bank accounts and finances,account_type,The user's account type
220,Banks_2,Service to manage your bank accounts and finances,recipient_account_type,The account type of the recipient to transfer the money to
221,Banks_2,Service to manage your bank accounts and finances,account_balance,The balance in the specified account
222,Banks_2,Service to manage your bank accounts and finances,transfer_amount,The amount of money to transfer
223,Banks_2,Service to manage your bank accounts and finances,recipient_name,The name of the recipient to transfer the money to
224,Banks_2,Service to manage your bank accounts and finances,transfer_time,Number of days for the transfer to go through
225,Flights_3,Find one way and round trip flights to your favorite city,passengers,Number of passengers to find flight seats for
226,Flights_3,Find one way and round trip flights to your favorite city,flight_class,Fare class of flight booking
227,Flights_3,Find one way and round trip flights to your favorite city,origin_city,City in which the journey originates
228,Flights_3,Find one way and round trip flights to your favorite city,destination_city,City in which the journey ends
229,Flights_3,Find one way and round trip flights to your favorite city,origin_airport_name,Number of the airport flying out from
230,Flights_3,Find one way and round trip flights to your favorite city,destination_airport_name,Number of the airport flying to
231,Flights_3,Find one way and round trip flights to your favorite city,departure_date,Date of departure flight
232,Flights_3,Find one way and round trip flights to your favorite city,return_date,Date of return flight
233,Flights_3,Find one way and round trip flights to your favorite city,number_stops,Number of stops in the itinerary
234,Flights_3,Find one way and round trip flights to your favorite city,outbound_departure_time,Local time of departure of flight from origin to destination
235,Flights_3,Find one way and round trip flights to your favorite city,outbound_arrival_time,Local time of arrival of flight from origin to destination
236,Flights_3,Find one way and round trip flights to your favorite city,inbound_arrival_time,Local time of arrival of flight from destination to origin
237,Flights_3,Find one way and round trip flights to your favorite city,inbound_departure_time,Local time of departure of flight from destination to origin
238,Flights_3,Find one way and round trip flights to your favorite city,price,Price per passenger of the itinerary
239,Flights_3,Find one way and round trip flights to your favorite city,number_checked_bags,Number of bags to check in
240,Flights_3,Find one way and round trip flights to your favorite city,airlines,Name of airline operating the flight
241,Flights_3,Find one way and round trip flights to your favorite city,arrives_next_day,Whether the flight arrives the next day
242,Hotels_4,Accommodation searching and booking portal,location,City or town where the accommodation is located
243,Hotels_4,Accommodation searching and booking portal,number_of_rooms,Number of rooms to reserve
244,Hotels_4,Accommodation searching and booking portal,check_in_date,Check in date for reservation
245,Hotels_4,Accommodation searching and booking portal,stay_length,Length of stay in days
246,Hotels_4,Accommodation searching and booking portal,star_rating,Star rating of the accommodation
247,Hotels_4,Accommodation searching and booking portal,place_name,Name of the accommodation
248,Hotels_4,Accommodation searching and booking portal,street_address,Street address of the accommodation
249,Hotels_4,Accommodation searching and booking portal,phone_number,Contact phone number of the accommodation
250,Hotels_4,Accommodation searching and booking portal,price_per_night,Price per night for the stay
251,Hotels_4,Accommodation searching and booking portal,smoking_allowed,Whether or not smoking is allowed inside the place
252,Media_2,The widest selection and lowest prices for movie rentals,movie_name,Name of the movie
253,Media_2,The widest selection and lowest prices for movie rentals,genre,Main genre of the movie
254,Media_2,The widest selection and lowest prices for movie rentals,subtitle_language,Language to use for subtitles (or None for no subtitles)
255,Media_2,The widest selection and lowest prices for movie rentals,director,Name of the director of the movie
256,Media_2,The widest selection and lowest prices for movie rentals,actors,Name of an actor starring in the movie
257,Media_2,The widest selection and lowest prices for movie rentals,price,Cost of renting movie
258,Movies_2,The definitive database to discover new movies to watch,title,Title for movie
259,Movies_2,The definitive database to discover new movies to watch,genre,Genre of the movie
260,Movies_2,The definitive database to discover new movies to watch,aggregate_rating,"Aggregate user rating for movie, scale of 10"
261,Movies_2,The definitive database to discover new movies to watch,starring,Name of actor starring in movie
262,Movies_2,The definitive database to discover new movies to watch,director,Name of director of the movie
263,Restaurants_2,A popular restaurant search and reservation service,restaurant_name,Name of the restaurant
264,Restaurants_2,A popular restaurant search and reservation service,date,Tentative date of restaurant reservation
265,Restaurants_2,A popular restaurant search and reservation service,time,Tentative time of restaurant reservation
266,Restaurants_2,A popular restaurant search and reservation service,has_seating_outdoors,Whether the restaurant has outdoor seating available
267,Restaurants_2,A popular restaurant search and reservation service,has_vegetarian_options,Whether the restaurant has adequate vegetarian options
268,Restaurants_2,A popular restaurant search and reservation service,phone_number,Phone number to contact restaurant
269,Restaurants_2,A popular restaurant search and reservation service,rating,Average user rating for restaurant on a scale of 5
270,Restaurants_2,A popular restaurant search and reservation service,address,Address of restaurant
271,Restaurants_2,A popular restaurant search and reservation service,number_of_seats,Number of seats to reserve at the restaurant
272,Restaurants_2,A popular restaurant search and reservation service,price_range,Price range for the restaurant
273,Restaurants_2,A popular restaurant search and reservation service,location,City where the restaurant is located
274,Restaurants_2,A popular restaurant search and reservation service,category,The category of food offered by the restaurant
275,Services_4,Discover the right therapist for you and make reservations easily,therapist_name,Name of the therapist
276,Services_4,Discover the right therapist for you and make reservations easily,phone_number,Contact number of the therapist
277,Services_4,Discover the right therapist for you and make reservations easily,address,Address of the therapist
278,Services_4,Discover the right therapist for you and make reservations easily,city,Area where user wants to search for a therapist
279,Services_4,Discover the right therapist for you and make reservations easily,appointment_date,Date of the appointment
280,Services_4,Discover the right therapist for you and make reservations easily,appointment_time,Time of the appointment
281,Services_4,Discover the right therapist for you and make reservations easily,type,Type of the therapist
282,Buses_3,Affordable and comfortable bus travel across the country,from_city,The city to depart from
283,Buses_3,Affordable and comfortable bus travel across the country,to_city,The destination city of the trip
284,Buses_3,Affordable and comfortable bus travel across the country,from_station,Name of station of departure
285,Buses_3,Affordable and comfortable bus travel across the country,to_station,Name of station of arrival
286,Buses_3,Affordable and comfortable bus travel across the country,departure_date,The date of departure
287,Buses_3,Affordable and comfortable bus travel across the country,departure_time,The time of departure
288,Buses_3,Affordable and comfortable bus travel across the country,price,Ticket price per passenger
289,Buses_3,Affordable and comfortable bus travel across the country,additional_luggage,Whether to carry excess baggage in the bus
290,Buses_3,Affordable and comfortable bus travel across the country,num_passengers,The number of tickets for the trip
291,Buses_3,Affordable and comfortable bus travel across the country,category,How many stops the route has
292,Events_3,Find and book tickets to any cultural events in your area,event_type,Type of cultural event
293,Events_3,Find and book tickets to any cultural events in your area,event_name,Name of artist or play
294,Events_3,Find and book tickets to any cultural events in your area,date,Date of event
295,Events_3,Find and book tickets to any cultural events in your area,time,Start time of event
296,Events_3,Find and book tickets to any cultural events in your area,number_of_tickets,Number of tickets to reserve for the event
297,Events_3,Find and book tickets to any cultural events in your area,price_per_ticket,Price of each ticket
298,Events_3,Find and book tickets to any cultural events in your area,city,City where the event is taking place
299,Events_3,Find and book tickets to any cultural events in your area,venue,Exact venue of event
300,Events_3,Find and book tickets to any cultural events in your area,venue_address,Street address of event venue
301,Flights_4,Find cheap flights in seconds and book flights,number_of_tickets,the number of flight tickets for the trip
302,Flights_4,Find cheap flights in seconds and book flights,seating_class,The cabin seat option
303,Flights_4,Find cheap flights in seconds and book flights,origin_airport,The name of the airport or city to depart from
304,Flights_4,Find cheap flights in seconds and book flights,destination_airport,The name of the airport or city to arrive at
305,Flights_4,Find cheap flights in seconds and book flights,departure_date,Start date of the trip
306,Flights_4,Find cheap flights in seconds and book flights,return_date,End date of the trip
307,Flights_4,Find cheap flights in seconds and book flights,is_nonstop,Whether the flight is a direct one
308,Flights_4,Find cheap flights in seconds and book flights,outbound_departure_time,Departure time of the flight flying to the destination
309,Flights_4,Find cheap flights in seconds and book flights,outbound_arrival_time,Arrival time of the flight flying to the destination
310,Flights_4,Find cheap flights in seconds and book flights,inbound_arrival_time,Arrival time of the flight coming back from the trip
311,Flights_4,Find cheap flights in seconds and book flights,inbound_departure_time,Departure time of the flight coming back from the trip
312,Flights_4,Find cheap flights in seconds and book flights,price,The total cost of the flight tickets
313,Flights_4,Find cheap flights in seconds and book flights,airlines,The company that provides air transport services
314,Homes_2,Service for finding properties to buy and rent,intent,Whether to buy or rent a property
315,Homes_2,Service for finding properties to buy and rent,area,City where the property is located
316,Homes_2,Service for finding properties to buy and rent,address,Street address of property
317,Homes_2,Service for finding properties to buy and rent,property_name,Name of property or apartment complex
318,Homes_2,Service for finding properties to buy and rent,phone_number,Contact number of property or apartment complex
319,Homes_2,Service for finding properties to buy and rent,has_garage,Whether the property has a garage
320,Homes_2,Service for finding properties to buy and rent,in_unit_laundry,Whether the property has in-unit laundry facilities
321,Homes_2,Service for finding properties to buy and rent,price,Sale price or per-month rent of property
322,Homes_2,Service for finding properties to buy and rent,visit_date,Date for visit to the property
323,Homes_2,Service for finding properties to buy and rent,number_of_beds,Number of bedrooms in the property
324,Homes_2,Service for finding properties to buy and rent,number_of_baths,Number of bathroom in the property
325,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",title,Title of the movie
326,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",genre,Category of the content
327,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",subtitle_language,Language of the subtitles
328,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",starring,Celebs acting in the movie
329,Messaging_1,Connect and share locations with your contacts,location,Location to share with contact
330,Messaging_1,Connect and share locations with your contacts,contact_name,Name of contact to send to
331,Movies_3,A review-aggregation website for movies and television,movie_title,Name of the movie
332,Movies_3,A review-aggregation website for movies and television,genre,Type of the movie
333,Movies_3,A review-aggregation website for movies and television,percent_rating,Average critic percentage rating
334,Movies_3,A review-aggregation website for movies and television,cast,Actors in the movie
335,Movies_3,A review-aggregation website for movies and television,directed_by,Director of the movie
336,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",track,Name of the song
337,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",artist,Performer's name
338,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",album,Collection of the song
